City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
680,Karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
682,Andros Town,BS,76.96,clear sky,24.7,-77.7667,Hanks place
688,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
689,Khao Yoi,TH,81.99,broken clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
695,Mtimbira,TZ,72.27,overcast clouds,-8.7833,36.35,
698,Bull Savanna,JM,81.16,scattered clouds,17.8868,-77.5902,Big Red's
699,Owando,CG,81.37,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
700,Riachao Das Neves,BR,79.52,overcast clouds,-11.7461,-44.91,Casa Costa
701,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
704,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
707,Soyo,AO,78.17,overcast clouds,-6.1349,12.3689,Hotel Mpampa
708,Solenzo,BF,80.69,few clouds,12.1833,-4.0833,
709,Praya,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
710,Mattru,SL,79.36,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
711,Valparaiso,CL,82.63,clear sky,-33.0393,-71.6273,Hotel Ultramar
713,Kahului,US,78.06,few clouds,20.8947,-156.47,Maui Seaside Hotel
716,Ambulu,ID,75.81,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
718,Gunjur,GM,84.27,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
721,Saquarema,BR,87.82,scattered clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
722,Buritica,CO,77.25,broken clouds,6.7187,-75.9073,HOTEL EL MIRADOR
729,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
731,Makasar,ID,75.25,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
733,Vila Do Maio,CV,75.99,clear sky,15.1333,-23.2167,Hotel Marilu
735,Prainha,BR,80.8,heavy intensity rain,-1.8,-53.48,Casa Rocha
736,Segou,ML,79.74,clear sky,13.4317,-6.2157,Comme chez soi
737,Banda Aceh,ID,78.69,overcast clouds,5.5577,95.3222,Sulthan Hotel International
738,Piacabucu,BR,81.84,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
740,Linhares,BR,79.83,overcast clouds,-19.3911,-40.0722,Hotel Conceição
