City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Katsuura,JP,35.1333,140.3,32.11,50,8,7.14,clear sky
80,Taltal,CL,-25.4,-70.4833,71.53,65,24,5.17,few clouds
81,Bethel,US,41.3712,-73.414,27.48,67,40,5.99,scattered clouds
82,Faro,PT,37.0194,-7.9322,62.38,48,0,6.91,clear sky
83,Sao Filipe,CV,14.8961,-24.4956,74.68,67,0,10.6,clear sky
84,Novikovo,RU,51.1537,37.8879,0.81,100,100,4.45,overcast clouds
85,Longkou,CN,37.6508,120.3286,32.43,54,64,16.64,broken clouds
86,Santa Elena,EC,-2.2333,-80.85,83.75,65,0,13.8,clear sky
87,Daru,PG,-9.0763,143.2092,77.58,91,100,8.93,light rain
88,Kununurra,AU,-15.7667,128.7333,78.78,94,100,0.0,overcast clouds
89,Paso De Carrasco,UY,-34.8603,-56.0522,71.74,78,100,11.5,overcast clouds
90,Grand Gaube,MU,-20.0064,57.6608,80.38,80,100,10.0,overcast clouds
91,Lavrentiya,RU,65.5833,-171.0,-17.64,93,18,9.48,few clouds
92,Tongliao,CN,43.6125,122.2653,0.93,85,18,7.72,few clouds
93,Hegra,NO,63.4644,11.114,33.71,47,0,10.36,clear sky
94,Mataura,NZ,-46.1927,168.8643,50.49,92,100,1.07,overcast clouds
95,Port Moresby,PG,-9.4431,147.1797,75.92,86,100,7.76,overcast clouds
96,Dikson,RU,73.5069,80.5464,-18.2,100,99,3.47,overcast clouds
97,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,20.71,few clouds
98,Butaritari,KI,3.0707,172.7902,82.36,70,13,19.37,few clouds
99,Olafsvik,IS,64.8945,-23.7142,30.29,73,100,20.13,light snow
100,Manbij,SY,36.5281,37.9549,39.97,65,0,5.95,clear sky
101,Punta Arenas,CL,-53.15,-70.9167,59.11,77,100,21.85,light intensity shower rain
102,Rikitea,PF,-23.1203,-134.9692,78.8,72,100,11.7,overcast clouds
103,Porto Belo,BR,-27.1578,-48.5531,89.8,71,34,12.48,scattered clouds
104,Lata,PT,40.1629,-8.3327,52.07,78,0,4.29,clear sky
105,Fort Nelson,CA,58.8053,-122.7002,-2.61,71,75,4.61,broken clouds
106,Atuona,PF,-9.8,-139.0333,78.82,75,7,23.55,clear sky
107,Talnakh,RU,69.4865,88.3972,-17.63,100,100,3.18,overcast clouds
108,Poum,NC,-20.2333,164.0167,80.78,72,100,3.04,overcast clouds
109,Hithadhoo,MV,-0.6,73.0833,82.24,73,100,12.95,overcast clouds
110,Biak,ID,-0.9131,122.8766,75.9,86,100,2.44,overcast clouds
111,Barra Do Bugres,BR,-15.0725,-57.1811,91.2,50,68,4.38,broken clouds
112,Nikolskoye,RU,59.7035,30.7861,27.88,94,100,9.95,snow
