City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
138,East London,75,ZA,2022-02-05 17:10:57,94,-33.0153,27.9116,67.14,6.91
139,Guangyuan,100,CN,2022-02-05 17:13:21,97,32.442,105.823,39.99,3.49
140,Ziro,98,IN,2022-02-05 17:13:22,98,27.6333,93.8333,32.85,2.91
141,Cidreira,91,BR,2022-02-05 17:13:22,58,-30.1811,-50.2056,86.92,9.22
142,Yanzhou,44,CN,2022-02-05 17:13:23,35,35.5528,116.8286,29.03,2.37
143,Puerto Leguizamo,88,CO,2022-02-05 17:13:23,77,-0.1934,-74.7819,82.2,1.72
144,Xushan,3,CN,2022-02-05 17:13:24,67,30.1764,121.2457,34.65,5.55
145,Maceio,20,BR,2022-02-05 17:13:24,45,-9.6658,-35.7353,87.24,16.11
146,Longyearbyen,20,SJ,2022-02-05 17:13:25,61,78.2186,15.6401,10.24,24.16
147,Babayurt,64,RU,2022-02-05 17:13:25,64,43.6002,46.7789,34.5,10.92
148,Fairlie,100,GB,2022-02-05 17:13:26,89,55.756,-4.8556,44.51,8.01
149,Missoula,94,US,2022-02-05 17:13:26,75,47.0166,-113.8009,31.84,8.61
150,Gorom-Gorom,0,BF,2022-02-05 17:13:27,7,14.4439,-0.2361,84.43,10.83
151,Mitu,100,CO,2022-02-05 17:13:27,83,1.1983,-70.1733,79.18,4.27
152,Husavik,99,IS,2022-02-05 17:13:28,96,66.0449,-17.3389,27.82,15.1
153,Klaksvik,97,FO,2022-02-05 17:11:34,92,62.2266,-6.589,36.52,43.96
154,Cremlingen,20,DE,2022-02-05 17:13:28,61,52.25,10.65,43.84,8.99
155,Port Blair,66,IN,2022-02-05 17:13:29,79,11.6667,92.75,79.75,8.03
156,Airai,82,TL,2022-02-05 17:12:39,92,-8.9266,125.4092,60.57,2.06
157,The Pas,40,CA,2022-02-05 17:13:30,71,53.8251,-101.2541,-7.58,5.75
